Iteration,Dimers_Count,GTPs_Count,GDPs-Count,Active Dimers - Count,Inactive Dimers - Count, Current GTPs, Current GDPs, Longest Protofilament Length,Micro Tubule length,Dimers in Main Structure,Dehydrolized Dimers Count, Mean Protofilament Length
1620,700,75,0,591,76,0,0,7,0,33,13,2.53846153846154
1630,700,74,0,592,75,0,0,7,0,33,15,2.53846153846154
1640,700,73,0,593,74,0,0,7,0,33,15,2.53846153846154
1650,700,70,0,596,71,0,0,7,0,33,15,2.53846153846154
1660,700,70,0,595,71,0,0,7,0,34,16,2.61538461538462
1670,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1680,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1690,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1700,700,69,1,595,71,0,0,7,0,34,17,2.61538461538462
1710,700,68,1,595,70,0,0,7,0,35,17,2.69230769230769
1720,700,69,0,595,70,0,0,7,0,35,17,2.69230769230769
1730,700,69,0,594,70,0,0,7,0,36,18,2.76923076923077
1740,700,69,0,594,70,0,0,7,0,36,18,2.76923076923077
1750,700,69,0,593,70,0,0,7,0,37,18,2.84615384615385
1760,700,69,0,593,70,0,0,7,0,37,18,2.84615384615385
1770,700,68,0,594,69,0,0,7,0,37,18,2.84615384615385
1780,700,68,0,594,69,0,0,7,0,37,18,2.84615384615385
1790,700,68,0,593,69,0,0,8,0,38,18,2.92307692307692
1800,700,67,0,593,68,0,0,8,0,39,18,3
1810,700,67,0,593,68,0,0,8,0,39,19,3
1820,700,67,0,593,68,0,0,8,0,39,20,3
1830,700,67,5,593,73,0,0,8,0,34,20,2.61538461538462
1840,700,67,5,591,73,0,0,8,0,36,21,2.76923076923077
1850,700,67,9,589,77,0,0,9,0,34,19,2.61538461538462
1860,700,66,9,590,76,0,0,9,0,34,19,2.61538461538462
1870,700,64,9,590,74,0,0,9,0,36,19,2.76923076923077
1880,700,68,12,589,82,0,0,8,0,29,17,2.23076923076923
1890,700,68,13,589,83,0,0,8,0,28,16,2.07692307692308
1900,700,71,14,590,87,0,0,4,0,23,15,1.76923076923077
1910,700,71,15,590,88,0,0,4,0,22,14,1.69230769230769
1920,700,70,15,590,88,0,0,4,0,22,15,1.69230769230769
1930,700,78,7,590,88,0,0,4,0,22,15,1.69230769230769
1940,700,79,6,589,88,0,0,4,0,23,15,1.76923076923077
1950,700,84,1,589,88,0,0,4,0,23,15,1.76923076923077
1960,700,85,1,589,89,0,0,4,0,22,15,1.69230769230769
1970,700,84,1,590,88,0,0,4,0,22,15,1.69230769230769
1980,700,84,1,590,88,0,0,4,0,22,15,1.69230769230769
1990,700,84,1,590,88,0,0,4,0,22,15,1.69230769230769
2000,700,84,1,589,88,0,0,4,0,23,15,1.76923076923077
2010,700,84,0,590,87,0,0,4,0,23,15,1.76923076923077
2020,700,83,0,591,86,0,0,4,0,23,15,1.76923076923077
2030,700,80,0,594,83,0,0,4,0,23,15,1.76923076923077
2040,700,79,0,595,82,0,0,4,0,23,15,1.76923076923077
2050,700,78,0,595,81,0,0,4,0,24,15,1.84615384615385
2060,700,78,0,595,81,0,0,4,0,24,15,1.84615384615385
2070,700,77,0,595,80,0,0,4,0,25,16,1.92307692307692
2080,700,76,0,596,79,0,0,4,0,25,16,1.92307692307692
2090,700,74,0,597,77,0,0,4,0,26,16,2
2100,700,71,0,600,74,0,0,4,0,26,16,2
2110,700,70,0,601,73,0,0,4,0,26,16,2
2120,700,70,0,600,73,0,0,4,0,27,16,2.07692307692308
2130,700,70,0,600,73,0,0,4,0,27,16,2.07692307692308
2140,700,69,0,601,72,0,0,4,0,27,16,2.07692307692308
2150,700,68,0,602,71,0,0,4,0,27,16,2.07692307692308
2160,700,68,0,602,71,0,0,4,0,27,16,2.07692307692308
2170,700,67,0,603,70,0,0,4,0,27,17,2.07692307692308
2180,700,66,1,604,70,0,0,4,0,26,16,2
2190,700,65,2,605,70,0,0,4,0,25,15,1.92307692307692
2200,700,65,2,605,70,0,0,4,0,25,15,1.92307692307692
2210,700,62,2,606,68,0,0,4,0,26,15,2
2220,700,62,2,605,68,0,0,4,0,27,16,2.07692307692308
2230,700,63,3,605,70,0,0,4,0,25,14,1.92307692307692
2240,700,64,2,605,70,0,0,4,0,25,14,1.92307692307692
2250,700,64,2,605,70,0,0,4,0,25,14,1.92307692307692
2260,700,63,4,606,71,0,0,4,0,23,12,1.76923076923077
2270,700,63,4,605,71,0,0,4,0,24,12,1.84615384615385
2280,700,65,2,605,71,0,0,4,0,24,12,1.84615384615385
2290,700,64,2,604,70,0,0,4,0,26,12,2
2300,700,62,2,603,68,0,0,5,0,29,12,2.23076923076923
2310,700,64,0,602,68,0,0,5,0,30,12,2.30769230769231
2320,700,64,0,602,68,0,0,5,0,30,12,2.30769230769231
2330,700,63,0,603,67,0,0,5,0,30,12,2.30769230769231
2340,700,63,0,603,67,0,0,5,0,30,12,2.30769230769231
2350,700,62,0,604,66,0,0,5,0,30,13,2.30769230769231
2360,700,62,0,604,66,0,0,5,0,30,13,2.30769230769231
2370,700,62,0,604,66,0,0,5,0,30,14,2.30769230769231
2380,700,61,0,605,65,0,0,5,0,30,15,2.30769230769231
2390,700,61,0,605,65,0,0,5,0,30,15,2.30769230769231
2400,700,61,0,603,65,0,0,5,0,32,15,2.46153846153846
2410,700,61,0,602,65,0,0,5,0,33,15,2.53846153846154
2420,700,60,0,603,64,0,0,5,0,33,15,2.53846153846154
2430,700,59,0,604,63,0,0,5,0,33,15,2.53846153846154
2440,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2450,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2460,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2470,700,59,0,604,63,0,0,5,0,33,16,2.53846153846154
2480,700,57,5,606,66,0,0,5,0,28,12,2.15384615384615
2490,700,57,5,606,66,0,0,5,0,28,12,2.15384615384615
2500,700,57,5,606,66,0,0,5,0,28,13,2.15384615384615
2510,700,57,5,606,66,0,0,5,0,28,13,2.15384615384615
2520,700,57,5,605,66,0,0,5,0,29,13,2.23076923076923
2530,700,62,0,604,66,0,0,5,0,30,14,2.30769230769231
2540,700,61,0,604,66,0,0,5,0,30,14,2.30769230769231
2550,700,61,0,602,66,0,0,5,0,32,15,2.46153846153846
2560,700,61,0,602,66,0,0,5,0,32,15,2.46153846153846
2570,700,60,0,601,65,0,0,5,0,34,15,2.61538461538462
2580,700,60,0,601,65,0,0,5,0,34,15,2.61538461538462
2590,700,60,0,600,65,0,0,6,0,35,16,2.69230769230769
2600,700,60,1,599,66,0,0,6,0,35,15,2.69230769230769
2610,700,60,1,598,66,0,0,6,0,36,15,2.76923076923077
2620,700,60,1,598,66,0,0,6,0,36,16,2.76923076923077
2630,700,59,1,598,65,0,0,6,0,37,16,2.84615384615385
2640,700,59,1,598,65,0,0,6,0,37,16,2.84615384615385
2650,700,59,0,599,64,0,0,6,0,37,16,2.84615384615385
2660,700,57,0,599,62,0,0,6,0,39,16,3
2670,700,56,0,600,61,0,0,6,0,39,16,3
2680,700,56,0,600,61,0,0,6,0,39,16,3
2690,700,53,0,604,57,0,0,6,0,39,16,3
2700,700,53,0,604,57,0,0,6,0,39,16,3
2710,700,53,0,603,57,0,0,6,0,40,17,3.07692307692308
2720,700,53,0,603,57,0,0,6,0,40,18,3.07692307692308
2730,700,53,0,603,57,0,0,6,0,40,18,3.07692307692308
2740,700,53,0,601,57,0,0,7,0,42,18,3.23076923076923
2750,700,53,0,601,57,0,0,7,0,42,18,3.23076923076923
2760,700,53,0,601,57,0,0,7,0,42,18,3.23076923076923
2770,700,52,1,602,57,0,0,7,0,41,18,3.15384615384615
2780,700,52,1,601,57,0,0,7,0,42,18,3.23076923076923
2790,700,52,1,601,57,0,0,7,0,42,20,3.23076923076923
2800,700,52,1,601,57,0,0,7,0,42,24,3.23076923076923
2810,700,52,1,601,57,0,0,7,0,42,24,3.23076923076923
2820,700,53,0,601,57,0,0,7,0,42,24,3.23076923076923
2830,700,53,0,599,57,0,0,7,0,44,24,3.38461538461538
2840,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2850,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2860,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2870,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2880,700,53,0,597,57,0,0,7,0,46,24,3.53846153846154
2890,700,53,0,595,57,0,0,7,0,48,24,3.69230769230769
2900,700,53,1,594,58,0,0,7,0,48,25,3.69230769230769
2910,700,53,2,594,59,0,0,7,0,47,25,3.61538461538462
2920,700,50,2,595,56,0,0,7,0,49,25,3.76923076923077
2930,700,49,2,596,55,0,0,7,0,49,25,3.76923076923077
2940,700,49,5,596,58,0,0,7,0,46,24,3.53846153846154
2950,700,49,4,597,57,0,0,7,0,46,24,3.53846153846154
2960,700,50,3,597,57,0,0,7,0,46,24,3.53846153846154
2970,700,50,3,597,57,0,0,7,0,46,24,3.53846153846154
2980,700,50,3,597,57,0,0,7,0,46,24,3.53846153846154
2990,700,53,0,594,57,0,0,8,0,49,24,3.76923076923077
3000,700,51,1,595,57,0,0,8,0,48,23,3.69230769230769
3010,700,50,6,596,61,0,0,8,0,43,21,3.30769230769231
3020,700,50,6,596,61,0,0,8,0,43,22,3.30769230769231
3030,700,49,6,596,61,0,0,8,0,43,22,3.30769230769231
3040,700,49,6,595,61,0,0,8,0,44,22,3.38461538461538
3050,700,50,5,595,61,0,0,8,0,44,24,3.38461538461538
3060,700,52,0,594,60,0,0,8,0,46,24,3.53846153846154
3070,700,52,0,593,60,0,0,8,1,47,24,3.61538461538462
3080,700,52,0,591,60,0,0,8,1,49,25,3.76923076923077
3090,700,52,0,591,60,0,0,8,1,49,26,3.76923076923077
3100,700,52,4,588,64,0,0,8,1,48,26,3.69230769230769
